service_id,date,exception_type
1602,20201111,1
2,20201111,1
4,20201111,2
1603,20201126,1
3,20201126,1
4,20201126,2
1603,20201127,1
3,20201127,1
13,20201127,2
1603,20201224,1
3,20201224,1
4,20201224,2
1603,20201225,1
3,20201225,1
13,20201225,2
1603,20201231,1
3,20201231,1
4,20201231,2
1603,20210101,1
3,20210101,1
13,20210101,2
1603,20210118,1
3,20210118,1
4,20210118,2
1603,20210215,1
3,20210215,1
4,20210215,2
1603,20210531,1
3,20210531,1
4,20210531,2
1603,20210705,1
3,20210705,1
4,20210705,2
