stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
3,3,NB D after Alexander,,36.193992,-115.147338,,,,,,0
6,6,SB D after Frederick,,36.192131,-115.147489,,,,,,0
9,9,SB D after Kasper,,36.194894,-115.147512,,,,,,0
10,10,NB D after Madison,,36.184298,-115.146999,,,,,,0
11,11,SB D after Monroe,,36.184607,-115.147156,,,,,,0
12,12,NB D before Owens,,36.188311,-115.147154,,,,,,0
13,13,SB D after Owens,,36.188244,-115.147288,,,,,,0
14,14,NB D before Paul,,36.190482,-115.147273,,,,,,0
16,16,NB D before Jefferson,,36.182591,-115.146925,,,,,,0
17,17,NB H after Bonanza,,36.17789,-115.151745,,,,,,0
18,18,NB H after Byrnes,,36.192243,-115.151742,,,,,,0
19,19,SB H after Doolittle,,36.191834,-115.151929,,,,,,0
21,21,SB H after Lake Mead,,36.195388,-115.152018,,,,,,0
23,23,SB H after McWilliams,,36.17889,-115.152018,,,,,,0
24,24,SB H before Monroe,,36.185191,-115.151982,,,,,,0
25,25,NB H after Monroe,,36.185468,-115.151788,,,,,,0
28,28,NB H before Harrison,,36.187723,-115.151839,,,,,,0
29,29,SB H after Owens,,36.187959,-115.152057,,,,,,0
30,30,NB H after Washington,,36.181027,-115.151748,,,,,,0
31,31,SB H after Washington,,36.180382,-115.151941,,,,,,0
34,34,NB 4th before Fremont,,36.169247,-115.141989,,,,,,0
35,35,NB 4th after Bonneville,,36.164434,-115.145195,,,,,,0
36,36,NB 4th after Lewis,,36.166877,-115.143559,,,,,,0
39,39,EB Adams after Buchanan,,35.96831,-114.843729,,,,,,0
40,40,EB Adams after Avenue B,,35.968609,-114.836638,,,,,,0
41,41,EB Adams after Georgia,,35.968919,-114.8308,,,,,,0
42,42,EB Adams after San Felipe,,35.96913,-114.82686,,,,,,0
50,50,WB Alta after Altamira,,36.166601,-115.25647,,,,,,0
52,52,WB Alta after Antelope,,36.166598,-115.25174,,,,,,0
